Interaction_ID,Client_ID,Interaction_Date,Interaction_Type,Channel,Topic,Client_Response,Outcome,Advisor_Notes,Initiated_By
I028,C008,2026-07-15,Beauty Event,WhatsApp,Skincare Workshop,Positive,Attended event,Engaged throughout; brought a friend,Advisor
I029,C008,2026-06-02,Boutique Visit,In Person,Beauty,Positive,Purchase made,Ritual skincare set,Client
I030,C009,2026-08-11,Product Outreach,Phone,Gifting Consultation,Positive,Appointment booked,Planning a gift for late August; indicated budget is flexible,Advisor
I031,C009,2026-06-28,Boutique Visit,In Person,Watches,Positive,Purchase made,Bought the Horizon 36 for himself,Client
I032,C009,2026-04-12,Event Invitation,Phone,Large Gala,Declined,No attendance,Prefers private appointments to large gatherings,Advisor
I033,C010,2026-08-02,Private Salon,Phone,High Jewellery Commission,Positive,In discussion,Discussing a commissioned piece; timeline deliberately open,Advisor
I034,C010,2026-06-30,Boutique Visit,In Person,Fine Jewellery,Positive,Purchase made,Solaire diamond line bracelet,Client
I035,C010,2026-05-16,Event Invitation,Phone,Group Preview Event,Declined,No attendance,Reiterated her preference for private salon appointments only,Advisor
I036,C010,2026-03-08,Private Salon,In Person,Handbags,Positive,Purchase made,Reserved the Sevigne micro from regional allocation,Advisor
I037,C011,2026-07-25,Product Outreach,WhatsApp,Seasonal Handbags,Positive,Information requested,Asked for photographs of the new colourways,Advisor
I038,C011,2026-06-11,Boutique Visit,In Person,Shoes,Positive,Purchase made,Cassis heeled sandal,Client
I039,C011,2026-04-29,Event Invitation,WhatsApp,Fashion Preview,Positive,Attended event,Enjoyed the smaller preview format,Advisor
I040,C012,2026-02-17,Product Outreach,Email,Gifting Guide,Negative,Marketing opt-out,Unsubscribed from all marketing communications,System
I041,C012,2026-01-09,Boutique Visit,In Person,Fragrance,Neutral,Purchase made,Single gift purchase; expressed no further interest,Client
I042,C013,2026-02-24,Product Outreach,Email,Spring Collection,No Response,No action,No engagement recorded since this message,Advisor
I043,C013,2025-12-12,Boutique Visit,In Person,Fashion,Positive,Purchase made,An active client at the time; bought evening wear,Client
I044,C013,2025-11-30,Event Invitation,Email,Private Preview,Positive,Attended event,Attended and enjoyed the evening,Advisor
I045,C014,2026-08-05,Product Outreach,WhatsApp,Limited Watches,Positive,Information requested,Actively interested in limited allocations,Advisor
I046,C014,2026-06-18,Event Invitation,WhatsApp,Collectors Dinner,Declined,No attendance,Third declined invitation this year,Advisor
I047,C014,2026-04-22,Event Invitation,WhatsApp,Boutique Opening,Declined,No attendance,Declined without comment,Advisor
I048,C014,2026-02-10,Event Invitation,WhatsApp,New Year Reception,Declined,No attendance,Declined without comment,Advisor
I049,C014,2026-01-15,Private Preview,In Person,Watches,Positive,Purchase made,One-to-one appointment; purchased the Meridian chronograph,Advisor
I050,C015,2026-08-12,Product Outreach,WhatsApp,Handbags,Positive,Information requested,Considering a first handbag; comparing Cassis and Meridian,Advisor
I051,C015,2026-07-03,Beauty Event,WhatsApp,Fragrance Discovery,Positive,Attended event,Attended with a friend and bought a fragrance,Advisor
I052,C015,2026-05-21,Boutique Visit,In Person,Fragrance,Positive,Purchase made,Nocturne eau de parfum,Client
